Name,URL,Description
LLAMASharp,https://github.com/SciSharp/LLamaSharp,LLamaSharp is a cross-platform library to run 🦙LLaMA/LLaVA
LmStudio.ai,https://lmstudio.ai/,Local environment for running and developing language models.
OLLAMA,https://ollama.com/search?q=code,AI Tool
OpenRouter,https://openrouter.ai,"Aggregator for multiple AI models, free and paid tiers."
Together AI,https://together.ai,"Platform for training, fine-tuning, and running open-source models at scale."
AMD,https://www.amd.com/en/technologies/ai,AMD's AI research and model development platform.
Artificial Analysis,https://artificialanalysis.com/,Independent analysis of AI. Understand the AI landscape to choose the best model and provider for your use case.
BAIDU,https://huggingface.co/baidu,Baidu's AI research and model development platform.
DeepReinforce,https://huggingface.co/deepreinforce-ai,AI research and model development by DeepReinforce. - Orinth Models
EmperorAI,https://empero.org/,AI research and model development by EmperorAI.
Kaggle,https://www.kaggle.com/,Data science competition & ML dataset platform.
NVIDIA,https://developer.nvidia.com/,NVIDIA's AI research and model development platform.
Unsloth,https://unsloth.ai/,AI research and model development by Unsloth.
